year,omegat,Ft,Mt,alphat,rhot,initN
1,0,0.655645,0.452992,15.58317043,0.45275549,1.014308848
2,0,0.918206,0.391621,8.744932664,0.710091675,2.550169608
3,1.35172,0.0258575,0.337223,13.50483791,0.530011987,4.280357878
4,-0.316822,0.658476,0.288197,12.84983247,0.547613326,1.354990821
5,-0.199243,0.276377,0.245174,11.58898775,0.59594502,0.934873035
6,0.288893,1.56507,0.209608,15.68486811,0.439069235,0.251384234
7,0.3195,1.59249,0.183008,13.56237892,0.523461096,0.312965109
8,0.794723,0.564123,0.166901,9.489651864,0.675476405,0.390159897
9,-0.444454,1.1251,0.162676,5.639277073,0.816938898,0.8576429
10,0.45479,0.177956,0.17152,7.469229995,0.749394481,NA
11,0.909515,1.09611,0.195643,16.97655686,0.37088099,NA
12,0.676335,0.41968,0.238548,15.06203711,0.463021202,NA
13,0.627988,1.20992,0.303559,11.82958927,0.589455531,NA
14,-0.00738952,1.40656,0.389128,12.07145563,0.577197621,NA
15,-0.666976,1.0558,0.484959,24.50372165,0.154081518,NA
16,1.97821,4.8287,0.572754,11.26507817,0.608936439,NA
17,-0.584281,1.57526,0.63129,11.26507817,0.608936439,NA
18,-0.229529,0.150508,0.646091,11.26507817,0.608936439,NA
19,0.552748,0,0.617202,11.26507817,0.608936439,NA
20,0.474142,0.011239,0.558408,7.417625073,0.770846865,NA
21,0.339754,0.137851,0.486884,12.21875037,0.600894206,NA
22,0.351821,0.423259,0.416337,7.400252625,0.770276785,NA
23,0.0884284,0.373443,0.355336,11.01317816,0.649719892,NA
24,0.129232,0.720335,0.308086,9.586914302,0.698228383,NA
25,-0.613011,0.586451,0.27621,9.242984044,0.714339604,NA
26,-0.847886,0.691969,0.260174,7.679499274,0.764545408,NA
27,-0.595565,0.65982,0.259684,7.010172748,0.792981703,NA
28,-0.747944,1.1847,0.274655,5.864510291,0.839499985,NA
29,1.50976,0.000184111,0.305212,8.996830576,0.718987238,NA
30,0.449288,0.0493153,0.350354,4.668801987,0.871029614,NA
31,0.355318,0.155041,0.405032,5.346671618,0.844412576,NA
32,-0.485957,0.182611,0.459,3.977864298,0.892448571,NA
33,-0.637479,0.15183,0.500256,5.913690528,0.813140049,NA
34,0.368694,0.255739,0.518926,5.333929074,0.831597443,NA
35,-0.362602,0.224433,0.511447,7.800622324,0.751669703,NA
36,-0.0140345,0.16653,0.482271,8.120468592,0.739328213,NA
37,1.19087,0.168071,0.441701,9.51649112,0.697768146,NA
38,-0.902439,0.172663,0.3994,9.645344531,0.693571336,NA
39,-1.23759,0.386945,0.361137,7.393200458,0.766581846,NA
40,-0.404365,0.34186,0.329511,7.124971898,0.775598937,NA
41,0.850718,0.377827,0.305042,6.289074507,0.807794125,NA
42,-0.693055,0.322213,0.287014,4.978475424,0.852004373,NA
43,-0.499241,0.40161,0.274127,6.18121593,0.798293535,NA
44,-1.79923,0.446194,0.265541,7.415581883,0.754793477,NA
45,-0.814414,0.448005,0.261055,9.830857028,0.659705961,NA
46,0.472574,0.234888,0.261036,9.9773261,0.656934085,NA
47,0.501734,0.176798,0.26647,6.158363142,0.796401759,NA
48,-0.807241,0.328143,0.279157,5.254989509,0.831834265,NA
49,-0.275136,0.306826,0.301665,6.940852722,0.765715734,NA
50,-1.0461,0.274299,0.336661,4.392204987,0.868364542,NA
51,-0.227708,0.269928,0.386749,7.238482409,0.756069639,NA
52,0.639958,0.191751,0.453803,8.170173017,0.713812367,NA
53,-0.260693,0.141568,0.537273,5.326188472,0.827433613,NA
54,0.622479,0.149674,0.63128,7.199896675,0.746921234,NA
55,-0.425066,0.240862,0.723981,5.948935724,0.799003173,NA
56,0.0796904,0.287701,0.800822,6.878998873,0.757612049,NA
57,-0.689241,0.052218,0.848461,6.300912873,0.773556684,NA
58,0.929002,0,0.859324,6.300912873,0.773556684,NA
59,-0.118419,0,0.83447,6.300912873,0.773556684,NA
60,0.604835,0,0.782864,6.300912873,0.773556684,NA
61,-0.766156,0,0.715644,6.300912873,0.773556684,NA
62,0.510372,0,0.642276,6.300912873,0.773556684,NA
63,-0.570265,0,0.56963,6.300912873,0.773556684,NA
64,0.543635,0.174534,0.501995,6.300912873,0.773556684,NA
