"","parameter","Sim1","Sim2","Sim3","Sim4","Sim5","Sim6"
"1","gui$mpLabel","""Curr""","""Hist""","""ccRule""","""Curr""","""Hist""","""ccRule"""
"2","gui$nReps","100","100","100","100","100","100"
"3","gui$scenarioLabel","""Curr""","""Curr""","""Curr""","""Hist""","""Hist""","""Hist"""
"4","gui$simAnnotate","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"5","gui$simLegend","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"6","gui$simPlotType","""simSpecs""","""simSpecs""","""simSpecs""","""simSpecs""","""simSpecs""","""simSpecs"""
"7","gui$simSetXaxis","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"8","gui$simSetYaxis","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"9","mp$assess$avgPoints","3","3","3","3","3","3"
"10","mp$assess$caaAges","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"11","mp$assess$caaAgesS","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"12","mp$assess$caaFSelOM","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"13","mp$assess$caaFixFSel","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"14","mp$assess$caaFixSSel","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"15","mp$assess$caaLowBoundB0","40","40","40","40","40","40"
"16","mp$assess$caaM","0.47","0.45","0.47","0.47","0.45","0.47"
"17","mp$assess$caaPmM","0.5","0.5","0.5","0.5","0.5","0.5"
"18","mp$assess$caaPmQ","0.56","0.56","0.56","0.56","0.56","0.56"
"19","mp$assess$caaPmQ1","0.56","0.56","0.56","0.56","0.56","0.56"
"20","mp$assess$caaPmQ2","0.56","1","0.56","0.56","1","0.56"
"21","mp$assess$caaPmSteep","0.8","0.81","0.8","0.8","0.81","0.8"
"22","mp$assess$caaPsdM","0.05","0.05","0.05","0.05","0.05","0.05"
"23","mp$assess$caaPsdQ","0.5","0.5","0.5","0.5","0.5","0.5"
"24","mp$assess$caaPsdQ1","0.27","0.27","0.27","0.27","0.27","0.27"
"25","mp$assess$caaPsdQ2","0.27","1e-04","0.27","0.27","1e-04","0.27"
"26","mp$assess$caaPsdSteep","0.08","0.08","0.08","0.08","0.08","0.08"
"27","mp$assess$caaRhoEiv","0.1","0.1","0.1","0.1","0.1","0.1"
"28","mp$assess$caaSSelOM","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"29","mp$assess$caaSelSVal50","2","2","2","2","2","2"
"30","mp$assess$caaSelSVal95","3","3","3","3","3","3"
"31","mp$assess$caaSelVal50","2","2","2","2","2","2"
"32","mp$assess$caaSelVal95","3","3","3","3","3","3"
"33","mp$assess$caaSigmaM","0.05","0.05","0.05","0.05","0.05","0.05"
"34","mp$assess$caaSigmaR","0.37","0.37","0.37","0.37","0.37","0.37"
"35","mp$assess$caaSurveyRel","""c(1,1)""","""c(1,0)""","""c(1,1)""","""c(1,1)""","""c(1,0)""","""c(1,1)"""
"36","mp$assess$caaUpBoundB0","200","200","200","200","200","200"
"37","mp$assess$chkMethod1","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"38","mp$assess$chkMethod2","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"39","mp$assess$chkRetroAdj","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"40","mp$assess$ddAlphaG","1.4054","1.4054","1.4054","1.4054","1.4054","1.4054"
"41","mp$assess$ddB0","30","30","30","30","30","30"
