"","simID","simLabel","scenario","procedure","period","t1","t2","statistic","value"
"1","Sim","Curr-Curr","Curr","Curr","Short",65,71,"medAvgDep",0.532618337894326
"2","Sim","Curr-Curr","Curr","Curr","Short",65,71,"Q1AvgDep",0.315373340346864
"3","Sim","Curr-Curr","Curr","Curr","Short",65,71,"Q2AvgDep",0.771020590365756
"4","Sim","Curr-Curr","Curr","Curr","Short",65,71,"medFinalDep",0.641946520513878
"5","Sim","Curr-Curr","Curr","Curr","Short",65,71,"Q1finalDep",0.298240486315348
"6","Sim","Curr-Curr","Curr","Curr","Short",65,71,"Q2finalDep",1.12374125548898
"7","Sim","Curr-Curr","Curr","Curr","Short",65,71,"medLowDep",0.44384210166361
"8","Sim","Curr-Curr","Curr","Curr","Short",65,71,"Q1LowDep",0.173560443010514
"9","Sim","Curr-Curr","Curr","Curr","Short",65,71,"Q2LowDep",0.460993796906637
"10","Sim","Curr-Curr","Curr","Curr","Short",65,71,"medAAV",23.6019410188155
"11","Sim","Curr-Curr","Curr","Curr","Short",65,71,"Q1AAV",17.9158590427398
"12","Sim","Curr-Curr","Curr","Curr","Short",65,71,"Q2AAV",37.1346341974165
"13","Sim","Curr-Curr","Curr","Curr","Short",65,71,"medAvgCatch",8.16733267384951
"14","Sim","Curr-Curr","Curr","Curr","Short",65,71,"Q1AvgCatch",5.56809367490537
"15","Sim","Curr-Curr","Curr","Curr","Short",65,71,"Q2AvgCatch",10.9076104940927
"16","Sim","Curr-Curr","Curr","Curr","Short",65,71,"medLowCatch",5.45375951065077
"17","Sim","Curr-Curr","Curr","Curr","Short",65,71,"Q1LowCatch",0
"18","Sim","Curr-Curr","Curr","Curr","Short",65,71,"Q2LowCatch",7.75691917004123
"19","Sim","Curr-Curr","Curr","Curr","Short",65,71,"medProbCritBmsy",0.0228571428571429
"20","Sim","Curr-Curr","Curr","Curr","Short",65,71,"medProbCautBmsy",0.0628571428571428
"21","Sim","Curr-Curr","Curr","Curr","Short",65,71,"medProbHealBmsy",0.914285714285714
"22","Sim","Curr-Curr","Curr","Curr","Short",65,71,"medProbCritB0",0.832857142857143
"23","Sim","Curr-Curr","Curr","Curr","Short",65,71,"medProbCautB0",0.111428571428571
"24","Sim","Curr-Curr","Curr","Curr","Short",65,71,"medProbHealB0",0.0557142857142857
"25","Sim","Curr-Curr","Curr","Curr","Short",65,71,"probFtGtFmsy",0.0528571428571429
"26","Sim","Curr-Curr","Curr","Curr","Short",65,71,"yearAtDepProb",NA
"27","Sim","Curr-Curr","Curr","Curr","Short",65,71,"probAtDepYear",NA
"28","Sim","Curr-Curr","Curr","Curr","Short",65,71,"depAtYearProb",NA
"29","Sim","Curr-Curr","Curr","Curr","Short",65,71,"probGteDmsy",NA
"30","Sim","Curr-Curr","Curr","Curr","Short",65,71,"probGteLimit",NA
"31","Sim","Curr-Curr","Curr","Curr","Short",65,71,"omittedReps",NA
"32","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"medAvgDep",0.812217805018493
"33","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"Q1AvgDep",0.379408552508362
