Year,omegat,Ft,alphat,rhot
1,0,0.268898,14.10557437,0.791363842
2,-0.445355,0.334825,15.08495534,0.767001714
3,0.988882,0.317843,18.78389309,0.696943051
4,0.890453,0.342518,15.95297702,0.745074496
5,0.368199,0.359044,15.32920848,0.758997432
6,1.19638,0.437699,14.57137991,0.782509769
7,1.0933,0.358386,18.58787172,0.67392483
8,0.536915,0.406104,17.59533045,0.712168316
9,0.900392,0.487391,23.12134215,0.599399864
10,0.501947,0.415357,17.30193401,0.725501704
11,0.793646,0.497973,14.81919378,0.768417009
12,0.919606,0.608522,17.84136617,0.715904557
13,0.186764,0.560492,29.33679247,0.479687095
14,0.512531,0.646287,19.65325734,0.650663359
15,-0.376229,0.4919,20.46020185,0.62587799
16,-0.582125,0.36734,14.98059189,0.707035262
17,-1.20423,0.357687,16.65934607,0.664423352
18,-1.05653,0.349533,12.0102364,0.78489848
19,0.3038,0.343266,9.732297131,0.833356299
20,0.255867,0.248457,25.76804036,0.45840467
21,-1.21228,0.311112,32.0915374,0.364219281
22,-0.546002,0.399628,19.35473532,0.62367348
23,-0.396317,0.416834,23.27494379,0.526587936
24,0.111803,0.294764,23.11682398,0.516407313
25,0.474911,0.191729,19.28762136,0.621591726
26,0.507993,0.235158,26.82953509,0.450869387
27,-0.52186,0.225334,26.18941451,0.458806251
28,-0.362926,0.18937,14.73422919,0.714322415
29,-0.205956,0.192471,17.52677732,0.630788789
30,0.82911,0.154261,22.44618158,0.483433674
31,0.356475,0.163144,17.00119738,0.60680058
32,0.279975,0.193477,16.94981341,0.615534497
33,-0.645329,0.156743,23.27494379,0.526587936
34,-0.786093,0.146972,23.11682398,0.516407313
35,0.362211,0.10171,19.28762136,0.621591726
36,-0.483986,0.0861187,26.82953509,0.450869387
37,-0.408136,0.0735569,26.18941451,0.458806251
38,0.006882,0.105719,14.73422919,0.714322415
39,-1.87448,0.0828042,17.52677732,0.630788789
40,-1.68686,0.0863264,22.44618158,0.483433674
41,-0.837581,0.0911256,17.00119738,0.60680058
42,0,0.0641329,16.94981341,0.615534497
43,0,0.078674,22.44618158,0.483433674
44,0,0.0566428,17.00119738,0.60680058
