"","omegat","Ft","Mt","alphat","rhot","initN"
"1",0,0.068152,0.216461,4.40785862891473,0.937954000748035,0.676052492422331
"2",-0.174385,0.0962057,0.219627,4.40785862891473,0.937954000748035,0.888307071383469
"3",-0.216824,0.11168,0.222839,4.40785862891473,0.937954000748035,0.696167776542494
"4",0.195919,0.11851,0.226098,4.40785862891473,0.937954000748035,0.562867041660561
"5",0.372795,0.126727,0.230091,4.40785862891473,0.937954000748035,0.464706670854901
"6",0.254844,0.1619,0.23453,4.40785862891473,0.937954000748035,0.425315443995254
"7",0.340837,0.162975,0.239922,4.40785862891473,0.937954000748035,0.379961820000028
"8",0.192789,0.157752,0.24565,4.40785862891473,0.937954000748035,0.360420671752831
"9",0.0708707,0.180526,0.250421,4.40785862891473,0.937954000748035,0.393245863995938
"10",0.0954565,0.252539,0.256069,4.40785862891473,0.937954000748035,0.316503035499821
"11",0.414011,0.269031,0.261779,4.40785862891473,0.937954000748035,0.349034497177749
"12",-0.397775,0.192755,0.267744,4.40785862891473,0.937954000748035,0.344919473535445
"13",-0.635583,0.17673,0.275301,4.40785862891473,0.937954000748035,0.313103199201888
"14",-0.545107,0.202863,0.284069,4.40785862891473,0.937954000748035,0.284224271923098
"15",0.0120646,0.188758,0.29077,4.40785862891473,0.937954000748035,0.258008765527981
"16",0.76941,0.230136,0.296653,4.40785862891473,0.937954000748035,0.234214313976485
"17",0.596824,0.230324,0.305205,4.40785862891473,0.937954000748035,0.212612156741655
"18",0.582333,0.182259,0.315515,4.40785862891473,0.937954000748035,0.193001923462216
"19",0.0670524,0.107816,0.326746,4.40785862891473,0.937954000748035,0.175201233353028
"20",-0.0536364,0.0622385,0.335807,4.40785862891473,0.937954000748035,0.619349255827245
"21",0.501745,0.0614645,0.346744,4.40785862891473,0.937954000748035,NA
"22",0.226968,0.0633104,0.363532,4.40785862891473,0.937954000748035,NA
"23",0.133644,0.0747497,0.383316,4.40785862891473,0.937954000748035,NA
"24",0.316081,0.127143,0.403367,4.40785862891473,0.937954000748035,NA
"25",0.0829406,0.126056,0.422681,4.40785862891473,0.937954000748035,NA
"26",-0.5129,0.130677,0.443116,4.79821161415799,0.923896975403052,NA
"27",-1.0617,0.15054,0.466589,2.75677647541796,0.991698039441805,NA
"28",-0.493366,0.187962,0.499061,4.05550481528919,0.950466543107945,NA
"29",-0.0487679,0.218897,0.547467,5.2705738197721,0.90863528201213,NA
"30",-0.500145,0.380159,0.612853,4.37958226127785,0.929779498335338,NA
"31",-1.56228,0.667772,0.714542,3.45215618723813,0.969974520317417,NA
"32",-1.54897,0.898774,0.871955,3.68534438431062,0.955733364561932,NA
"33",-1.31269,1.33983,1.12078,4.27377457242752,0.942623015687236,NA
"34",-1.30172,2.01375,1.3618,3.84497812610726,0.95280157955195,NA
"35",-0.648213,1.0995,1.37328,8.40280294044647,0.832236956696751,NA
"36",0.0607166,0.111409,1.20533,4.18726892899864,0.943877805582756,NA
"37",0.448938,0.0222034,1.06235,4.81604149509294,0.927238625924515,NA
"38",0.00929035,0.0922463,1.00459,4.54592348066883,0.932125733644435,NA
"39",-0.0467386,0.0434336,1.00532,3.38669080516802,0.973288271162838,NA
"40",0.0480871,0.203843,1.06296,4.21910479021035,0.945540979731307,NA
"41",-0.349698,0.374987,1.11144,2.83233105005328,0.993750365547704,NA
"42",-0.32648,0.284354,1.14132,4.24614573273714,0.950549350605538,NA
"43",0.258827,0.441943,1.20961,3.63634936994854,0.959877200974769,NA
"44",1.03939,0.574768,1.23033,3.33562806670427,0.967768602281495,NA
"45",1.69211,0.195776,1.06576,4.69330097174185,0.917409471015952,NA
"46",1.19852,0.104637,0.844833,4.72240980141348,0.923642484440869,NA
"47",0.974261,0.166619,0.674345,4.81604149509294,0.927238625924515,NA
"48",0.788665,0.216015,0.576862,4.54592348066883,0.932125733644435,NA
"49",0.490523,0.130349,0.527719,3.38669080516802,0.973288271162838,NA
"50",-0.0418427,0.0885388,0.497487,4.21910479021035,0.945540979731307,NA
"51",-0.215499,0.0639657,0.481379,2.83233105005328,0.993750365547704,NA
"52",0.234995,0.0546777,0.471762,4.24614573273714,0.950549350605538,NA
"53",-0.61228,0.0620308,0.460683,3.63634936994854,0.959877200974769,NA
"54",-0.983414,0.0536964,0.449628,3.33562806670427,0.967768602281495,NA
"55",0.508114,0.0533443,0.445021,4.69330097174185,0.917409471015952,NA
"56",0.134485,0.0482155,0.443665,4.72240980141348,0.923642484440869,NA
