"","simFolder","simName","simFile","simInfo","simDate","scenario","mp","tMP","nT","nReps","rank","group"
"1","sim_071220151323251","sim_071220151323251","sim_071220151323251.Rdata","sim_071220151323251.info","71220151323251","NCod83HistM.csv","Dm0.5Dv0.1Mm0.5Mv0.2Q1",33,52,50,1,1
"2","sim_071220151323278","sim_071220151323278","sim_071220151323278.Rdata","sim_071220151323278.info","71220151323278","NCod83HistM.csv","Dm1Dv0.1Mm0.5Mv0.2Q1",33,52,50,2,1
"3","sim_071220151323306","sim_071220151323306","sim_071220151323306.Rdata","sim_071220151323306.info","71220151323306","NCod83HistM.csv","Dm1.5Dv0.1Mm0.5Mv0.2Q1",33,52,50,3,1
"4","sim_071220151323333","sim_071220151323333","sim_071220151323333.Rdata","sim_071220151323333.info","71220151323333","NCod83HistM.csv","Dm2Dv0.1Mm0.5Mv0.2Q1",33,52,50,4,1
"5","sim_071220151323360","sim_071220151323360","sim_071220151323360.Rdata","sim_071220151323360.info","71220151323360","NCod83HistM.csv","Dm0.5Dv0.2Mm0.5Mv0.2Q1",33,52,50,5,1
"6","sim_071220151323387","sim_071220151323387","sim_071220151323387.Rdata","sim_071220151323387.info","71220151323387","NCod83HistM.csv","Dm1Dv0.2Mm0.5Mv0.2Q1",33,52,50,6,1
"7","sim_071220151323414","sim_071220151323414","sim_071220151323414.Rdata","sim_071220151323414.info","71220151323414","NCod83HistM.csv","Dm1.5Dv0.2Mm0.5Mv0.2Q1",33,52,50,7,1
"8","sim_071220151323442","sim_071220151323442","sim_071220151323442.Rdata","sim_071220151323442.info","71220151323442","NCod83HistM.csv","Dm2Dv0.2Mm0.5Mv0.2Q1",33,52,50,8,1
"9","sim_071220151323468","sim_071220151323468","sim_071220151323468.Rdata","sim_071220151323468.info","71220151323468","NCod83HistM.csv","Dm0.5Dv0.3Mm0.5Mv0.2Q1",33,52,50,9,1
"10","sim_071220151323495","sim_071220151323495","sim_071220151323495.Rdata","sim_071220151323495.info","71220151323495","NCod83HistM.csv","Dm1Dv0.3Mm0.5Mv0.2Q1",33,52,50,10,1
"11","sim_071220151323522","sim_071220151323522","sim_071220151323522.Rdata","sim_071220151323522.info","71220151323522","NCod83HistM.csv","Dm1.5Dv0.3Mm0.5Mv0.2Q1",33,52,50,11,1
"12","sim_071220151323549","sim_071220151323549","sim_071220151323549.Rdata","sim_071220151323549.info","71220151323549","NCod83HistM.csv","Dm2Dv0.3Mm0.5Mv0.2Q1",33,52,50,12,1
"13","sim_071220151323576","sim_071220151323576","sim_071220151323576.Rdata","sim_071220151323576.info","71220151323576","NCod83HistM.csv","Dm0.5Dv0.4Mm0.5Mv0.2Q1",33,52,50,13,1
"14","sim_071220151324003","sim_071220151324003","sim_071220151324003.Rdata","sim_071220151324003.info","71220151324003","NCod83HistM.csv","Dm1Dv0.4Mm0.5Mv0.2Q1",33,52,50,14,1
"15","sim_071220151324030","sim_071220151324030","sim_071220151324030.Rdata","sim_071220151324030.info","71220151324030","NCod83HistM.csv","Dm1.5Dv0.4Mm0.5Mv0.2Q1",33,52,50,15,1
"16","sim_071220151324056","sim_071220151324056","sim_071220151324056.Rdata","sim_071220151324056.info","71220151324056","NCod83HistM.csv","Dm2Dv0.4Mm0.5Mv0.2Q1",33,52,50,16,1
"17","sim_071220151324083","sim_071220151324083","sim_071220151324083.Rdata","sim_071220151324083.info","71220151324083","NCod83HistM.csv","Dm0.5Dv0.5Mm0.5Mv0.2Q1",33,52,50,17,1
"18","sim_071220151324111","sim_071220151324111","sim_071220151324111.Rdata","sim_071220151324111.info","71220151324111","NCod83HistM.csv","Dm1Dv0.5Mm0.5Mv0.2Q1",33,52,50,18,1
"19","sim_071220151324138","sim_071220151324138","sim_071220151324138.Rdata","sim_071220151324138.info","71220151324138","NCod83HistM.csv","Dm1.5Dv0.5Mm0.5Mv0.2Q1",33,52,50,19,1
"20","sim_071220151324165","sim_071220151324165","sim_071220151324165.Rdata","sim_071220151324165.info","71220151324165","NCod83HistM.csv","Dm2Dv0.5Mm0.5Mv0.2Q1",33,52,50,20,1
"21","sim_071220151324193","sim_071220151324193","sim_071220151324193.Rdata","sim_071220151324193.info","71220151324193","NCod83HistM.csv","Dm0.5Dv0.1Mm1Mv0.2Q1",33,52,50,21,1
"22","sim_071220151324220","sim_071220151324220","sim_071220151324220.Rdata","sim_071220151324220.info","71220151324220","NCod83HistM.csv","Dm1Dv0.1Mm1Mv0.2Q1",33,52,50,22,1
"23","sim_071220151324248","sim_071220151324248","sim_071220151324248.Rdata","sim_071220151324248.info","71220151324248","NCod83HistM.csv","Dm1.5Dv0.1Mm1Mv0.2Q1",33,52,50,23,1
"24","sim_071220151324274","sim_071220151324274","sim_071220151324274.Rdata","sim_071220151324274.info","71220151324274","NCod83HistM.csv","Dm2Dv0.1Mm1Mv0.2Q1",33,52,50,24,1
"25","sim_071220151324302","sim_071220151324302","sim_071220151324302.Rdata","sim_071220151324302.info","71220151324302","NCod83HistM.csv","Dm0.5Dv0.2Mm1Mv0.2Q1",33,52,50,25,1
"26","sim_071220151324329","sim_071220151324329","sim_071220151324329.Rdata","sim_071220151324329.info","71220151324329","NCod83HistM.csv","Dm1Dv0.2Mm1Mv0.2Q1",33,52,50,26,1
"27","sim_071220151324357","sim_071220151324357","sim_071220151324357.Rdata","sim_071220151324357.info","71220151324357","NCod83HistM.csv","Dm1.5Dv0.2Mm1Mv0.2Q1",33,52,50,27,1
"28","sim_071220151324383","sim_071220151324383","sim_071220151324383.Rdata","sim_071220151324383.info","71220151324383","NCod83HistM.csv","Dm2Dv0.2Mm1Mv0.2Q1",33,52,50,28,1
"29","sim_071220151324410","sim_071220151324410","sim_071220151324410.Rdata","sim_071220151324410.info","71220151324410","NCod83HistM.csv","Dm0.5Dv0.3Mm1Mv0.2Q1",33,52,50,29,1
"30","sim_071220151324438","sim_071220151324438","sim_071220151324438.Rdata","sim_071220151324438.info","71220151324438","NCod83HistM.csv","Dm1Dv0.3Mm1Mv0.2Q1",33,52,50,30,1
"31","sim_071220151324465","sim_071220151324465","sim_071220151324465.Rdata","sim_071220151324465.info","71220151324465","NCod83HistM.csv","Dm1.5Dv0.3Mm1Mv0.2Q1",33,52,50,31,1
"32","sim_071220151324493","sim_071220151324493","sim_071220151324493.Rdata","sim_071220151324493.info","71220151324493","NCod83HistM.csv","Dm2Dv0.3Mm1Mv0.2Q1",33,52,50,32,1
